gene	0h_AL	1h_AL	1h_FAST	3h_AL	3h_FAST	4h_RF	6h_AL	6h_FAST	12h_AL	12h_FAST	24h_AL	24h_FAST
Arfgef1	19.937458500308676	18.392740203532682	25.930399674591097	15.746666797766508	13.51478723830613	22.087771737198572	21.64344527630488	15.756508325812483	28.73486791788623	28.980214643276977	18.385864294663122	17.93698677192612
Arfgef2	1.5423052686169616	1.624887247891591	0.8561142286461031	1.277741967233419	1.0689194708874719	0.5920218208236734	1.0129305233965258	1.5886660325612558	1.2194206656627808	0.8908629682850353	1.1774974871214665	0.9923771890751271
Arfgef3	0.0739427907975111	0.09562175743019864	0.06623602777779103	0.11013962148367692	0.06231073697521312	0.08654117522050417	0.03616556046250416	0.06974604239779414	0.22946707317743098	0.11665488692276335	0.029401970153293946	0.017148053244163665
Arfip1	1.2645524271371102	0.583404708637802	0.7146580051689229	0.3289415926344015	0.5953586860609591	0	0.4184471704496925	0.6877293613818072	0.4854214967954401	0.41594694059708215	0.4389175282750894	0.7055341152740185
Arfip2	0.3275738557735384	4.81905283659552	20.336900751122815	31.48969687711826	0.865971108080084	3.81643786283653	0.9613019978666223	17.56526465957228	10.133615592828727	14.426625697107815	7.228056436606056	4.638696533955715
Arfrp1	152.7558229154448	111.64961930285253	67.67043641372253	78.6496404400099	132.6171212536821	147.79064251769375	120.70838683272159	93.84590758276879	136.86216234022996	141.66052996911446	124.97597225522588	154.37456793866312
Arg1	98.03587985595277	114.85992782015903	101.14356828564789	88.01507808998548	92.44946340785918	107.7682382271099	60.956441458363045	96.2652642799535	103.18145706459508	79.79338974162366	82.14894614039395	83.29486118309404
Arg2	15.19415454925113	18.602240075641497	19.902832762661337	16.193259338153464	13.189987200549265	19.93878301805462	17.477072107494894	18.31683688175773	18.16444630902847	19.049349200618227	16.468374607150732	19.495293034501763
Arglu1	5.916871271318698	4.592127504706948	2.384926755864916	3.4654436226395244	5.305117302053974	1.0697608009633024	5.530813347489291	3.0143953579272025	1.3117901040552649	1.5285662386847176	5.3031407041651075	4.063256678629626
Arhgap1	83.73889190585291	79.57431289955692	136.3173925779816	110.80806177360685	69.34498039918785	55.79778350910076	129.185916816138	98.99671884794012	127.35099705245426	230.9274783885164	87.3936199156164	65.05210261293638
Arhgap10	1.112602915157241	1.3247040954125735	1.2973045801993321	1.5523403330732441	1.3495053981275438	1.9725350726622275	2.058062250048218	1.9727570601465696	1.8619037966552623	1.3491490231897778	1.506351731383449	0.9415820215870029
Arhgap11a	0.6824817099420462	0.6301115345988996	0	0.46918774152799614	0.5751194654668612	0.8266124660174968	1.0964983793925147	0.21458210130625838	0.41797244131699823	0.6367134884902802	0.9247614197004621	0.2374112318596987
Arhgap12	2.1231925453004417	0.6742531754626393	1.6061231562994387	1.7941079111658007	1.9683383217850399	1.6514156443784562	1.187004968040376	1.123192748067061	1.8655422654552578	1.013592523466635	2.3877822954193824	1.3260338660792212
Arhgap15	7.003784048369296	4.2319828656873035	3.4068451013562453	6.598006216522967	5.306958152187277	5.188026506696144	2.895523892934801	9.261753163971372	4.3367339971657515	5.599119299080828	4.409799858563935	15.591044286629263
Arhgap17	1.0755329048866895	10.0135052072623	3.0063482348363832	5.32162127311213	6.096803235873069	0	2.197207773941452	4.14454186925248	0.5207702591107097	1.6683175398194696	5.334858816137367	4.381398400677746
Arhgap18	9.729791276883802	5.5662396469856805	4.64974729670229	9.715305935512779	8.129378514426605	1.8062962491767016	5.524075659050976	3.0182146503217933	0.5777094255130518	1.4271679090515696	4.421876264240029	3.3633698966346466
Arhgap19	1.4095526233574587	1.0253324548602536	0	0.9462484490858065	1.9301973249401616	1.778596205909162	1.1633876186855798	2.437510305090992	0.23460997500545927	0.5956506572126339	1.059564904175826	1.4097087247121904
Arhgap20	0.3441491482229198	0.3757998232129531	0.2111210662917443	0.7326033334022848	0.2657886359662623	1.7605695209022012	0.16349823793098445	0.16721873925731584	0.33664236196726544	0.18680898162637324	0.4236644811713105	0.4957853573092498
Arhgap21	279.02335762039206	245.40165732421232	181.31369998496086	192.24492388581618	179.07956072070044	137.42075562991224	276.21719303790513	175.66289236932738	211.0229586531149	92.94096463503578	214.89373158378854	125.50243588216058
Arhgap22	9.229635144457431	9.536754230116582	9.641600156543667	16.770416666337578	14.20976727303415	22.779817098722283	13.986794017987139	18.84142021217337	12.636917635712146	26.305446207119083	13.20190676342412	19.506972574811304
Arhgap23	39.62449205057397	28.627386843084203	13.564731070754776	29.841603795284062	29.275961475574817	8.996414402098413	45.74421886324123	27.343291022612828	9.862112017201412	7.277390910065963	56.524163666112216	29.96717161355244
Arhgap24	2.735538948595216	1.638012523255171	1.3188001373995366	2.2555771211204987	1.562816080699087	1.0660143344021695	1.2612839160216476	1.3396945561138185	0.9371111069852408	0.6454044120702276	2.8216082815082224	1.1544854692479385
Arhgap25	0.5247963816807564	1.1805606547968206	0.18803957675809463	0.8647248689873106	0.8614237597929747	0.13819753629479142	0.5001129712528732	0.33000711579081143	0.5930495762524052	0.389556344111693	0.3997508828227656	1.2412353978372577
